order_id,order_date,channel,sku,quantity,unit_price,discount,customer_id,country,shipping_method
ORD-000001,2024-09-11,own_store,VH-1034,2,44.64,11.43,VH-C100238,BE,standard
ORD-000002,2024-09-28,amazon,B0X2XM7B9M,1,60.16,0.0,VH-C101256,DE,standard
ORD-000003,2024-09-28,amazon,B00RADH5S3,1,60.17,0.0,VH-C102915,DE,standard
ORD-000004,2024-09-19,amazon,B044FDSE6A,1,24.32,0.0,VH-C102059,DE,standard
ORD-000004,2024-09-19,amazon,B0YZNEKZT7,1,32.51,0.0,VH-C102059,DE,standard
ORD-000004,2024-09-19,amazon,B06RJSMPSQ,1,54.29,0.0,VH-C102059,DE,standard
ORD-000005,2024-09-19,own_store,VH-1057,1,87.33,0.0,VH-C100402,DE,standard
ORD-000006,2024-09-10,own_store,VH-1034,1,43.33,11.54,VH-C101936,ES,standard
ORD-000006,2024-09-10,own_store,VH-1057,1,85.9,0.0,VH-C101936,ES,standard
ORD-000006,2024-09-10,own_store,VH-1015,2,118.43,0.0,VH-C101936,ES,standard
ORD-000007,2024-09-21,amazon,B00RADH5S3,1,60.65,17.11,VH-C100702,ES,standard
ORD-000007,2024-09-21,amazon,B07BFW8H1T,1,93.65,113.8,VH-C100702,ES,standard
ORD-000008,2024-09-11,amazon,B01J3QMR6K,1,33.36,0.0,VH-C100373,IT,standard
ORD-000009,2024-09-15,marketplace,staisteestanmixe  ,2,71.28,0.0,VH-C100595,IT,express
ORD-000009,2024-09-15,marketplace, vh bamboo kitchen utensil set ,4,21.46,6.27,VH-C100595,IT,express
ORD-000010,2024-09-22,own_store,VH-1067,1,86.07,0.0,VH-C102497,BE,standard
ORD-000011,2024-09-24,marketplace, oak-wine-glasses ,1,8.28,0.0,VH-C101308,BE,standard
ORD-000012,2024-09-21,marketplace, vh linen frying pan ,1,101.01,0.0,VH-C101359,DE,standard
ORD-000012,2024-09-21,marketplace,bamboo-serving-spoon ,1,11.89,0.0,VH-C101359,DE,standard
ORD-000012,2024-09-21,marketplace, stonfryipan  ,1,87.5,0.0,VH-C101359,DE,standard
ORD-000013,2024-09-22,amazon,B00RADH5S3,1,57.29,0.0,VH-C101095,IT,standard
ORD-000014,2024-09-08,marketplace, terrapro ,1,13.92,2.64,VH-C102163,ES,standard
ORD-000014,2024-09-08,marketplace, oak-mug-set ,2,14.46,0.0,VH-C102163,ES,standard
ORD-000015,2024-09-11,marketplace, ceramic salad owl ,1,37.5,0.0,VH-C100163,IT,express
ORD-000016,2024-09-10,marketplace, oak_salad_bowl  ,1,30.85,0.0,VH-C105315,FR,standard
ORD-000017,2024-09-11,amazon,B0L1F47G91,1,36.74,7.44,VH-C100712,BE,standard
ORD-000018,2024-09-17,amazon,B0XS5B40FN,1,52.95,0.0,VH-C101308,DE,standard
